127.0.0.1 - - [14/Apr/2015:10:28:42 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:28:43 +0200] "GET /Aplikacja/WEB-INF/jsp/user-detail.jsp HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:29:15 +0200] "POST /Aplikacja/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:29:15 +0200] "GET /Aplikacja/ HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:29:17 +0200] "GET /Aplikacja/register.html HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:29:18 +0200] "POST /Aplikacja/register.html HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:34:32 +0200] "GET /Aplikacja/users.html HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:34:34 +0200] "GET /Aplikacja/register.html HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:34:36 +0200] "POST /Aplikacja/register.html HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:34:47 +0200] "POST /Aplikacja/register.html HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:34:59 +0200] "POST /Aplikacja/register.html HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:04 +0200] "POST /Aplikacja/register.html HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:08 +0200] "POST /Aplikacja/register.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:08 +0200] "GET /Aplikacja/register.html?success=true HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:43 +0200] "GET /Aplikacja/account.html HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:46 +0200] "GET /Aplikacja/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:46 +0200] "GET /Aplikacja/ HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:47 +0200] "GET /Aplikacja/login.html HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:52 +0200] "POST /Aplikacja/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:52 +0200] "GET /Aplikacja/ HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:54 +0200] "GET /Aplikacja/account.html HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:35:57 +0200] "POST /Aplikacja/account.html HTTP/1.1" 200 4827
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:36:16 +0200] "POST /Aplikacja/account.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:36:16 +0200] "GET /Aplikacja/account.html HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:36:19 +0200] "GET /Aplikacja/blog/remove/2.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:10:36:19 +0200] "GET /Aplikacja/account.html HTTP/1.1" 200 4707
